date;screen_time
2024-12-04;489
2024-12-05;555
2024-12-06;443
2024-12-07;538
2024-12-08;284
2024-12-09;470
2024-12-10;315
2024-12-11;247
2024-12-12;468
2024-12-13;448
2024-12-14;407
2024-12-15;356
2024-12-16;275
2024-12-17;377
2024-12-18;253
2024-12-19;502
2024-12-20;285
2024-12-21;117
2024-12-22;199
2024-12-23;230
2024-12-24;470
2024-12-25;472
2024-12-26;296
2024-12-27;592
2024-12-28;389
2024-12-29;546
2024-12-30;343
2024-12-31;333
2025-01-01;288
2025-01-02;519
2025-01-03;628
2025-01-04;192
2025-01-05;201
2025-01-06;301
2025-01-07;258
2025-01-08;258
2025-01-09;416
2025-01-10;450